Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C6, C7, C8, C9",0603,51,8.2pF,
J1,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Counter_Clockwise,
J2,PinHeader_2x20_P2.54mm_Vertical,1,ADDRESS,
J3,PinHeader_2x20_P2.54mm_Vertical,1,DATA/CONTROL,
J4,PinHeader_2x20_P2.54mm_Vertical,1,BANK SELECT/MISC,
J5,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,BANK SELECT,
J6,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,MISC,
"J7, J8",JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,2,CLK2,
"R1, R101, R11, R13, R15, R17, R19, R21, R23, R25, R27, R29, R3, R31, R33, R35, R37, R39, R41, R43, R45, R47, R49, R5, R51, R53, R55, R57, R59, R61, R63, R65, R67, R69, R7, R71, R73, R75, R77, R79, R81, R83, R85, R87, R89, R9, R91, R93, R95, R97, R99",0603,51,90.9k,
"R10, R100, R102, R12, R14, R16, R18, R2, R20, R22, R24, R26, R28, R30, R32, R34, R36, R38, R4, R40, R42, R44, R46, R48, R50, R52, R54, R56, R58, R6, R60, R62, R64, R66, R68, R70, R72, R74, R76, R78, R8, R80, R82, R84, R86, R88, R90, R92, R94, R96, R98",0603,51,250R,
"mouse-bite-2mm-slot_5, mouse-bite-2mm-slot_4, mouse-bite-2mm-slot_3, mouse-bite-2mm-slot_2, mouse-bite-2mm-slot",mouse-bite-2mm-slot,5,VAL**,
